Species,Common name,Species Taxonomy ID,Taxonomic Lineage,Assembly name,NCBI accession / source,contig N50 (bp),scaffold N50 (bp),reference
Phocoena phocoena,harbor porpoise,9742,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Phocoenidae; Phocoena,HLphoPho2,DNA Zoo Consortium,57591,97795164,human
Phocoena phocoena,harbor porpoise,9742,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Phocoenidae; Phocoena,HLphoPho3,GCA_963924675.1,3726689,110192646,human
Phocoena sinus,vaquita,42100,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Phocoenidae; Phocoena,HLphoSin1,GCA_008692025.1,20218762,115469292,human
Phocoena sinus,vaquita,42100,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Phocoenidae; Phocoena,HLphoSin1B,GCA_008692045.1,137866,137866,human
Phyllostomus discolor,pale spear-nosed bat,89673,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Phyllostomidae; Phyllostominae; Phyllostomus,HLphyDis3,GCA_014049915.1,15176516,171075004,human
Physeter catodon,sperm whale,9755,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Physeteridae; Physeter,HLphyCat2,GCA_002837175.2,42542,122182240,human
Physeter catodon,sperm whale,9755,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Physeteridae; Physeter,phyCat1,GCF_000472045.1,35257,427290,human
Piliocolobus tephrosceles,Ugandan red Colobus,591936,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Colobinae; Piliocolobus,HLpilTep2,GCA_002776525.3,98446,131283114,human
Pipistrellus kuhlii,Kuhls pipistrelle,59472,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Pipistrellus,HLpipKuh2,GCA_014108245.1,10239182,80237350,human
Pipistrellus pipistrellus,common pipistrelle,59474,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Pipistrellus,HLpipPip1,GCA_004026625.1,26707,33992,human
Pipistrellus pipistrellus,common pipistrelle,59474,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Pipistrellus,HLpipPip2,GCA_903992545.1,4446752,94929986,human
Pithecia mittermeieri,Mittermeiers Tapajos saki,2946517,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Pitheciidae; Pitheciinae; Pithecia,HLpitMit1,GCA_963574975.1,46168,46168,human
Pithecia pithecia,white-faced saki,43777,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Pitheciidae; Pitheciinae; Pithecia,HLpitPit1,GCA_004026645.1,63292,83104,human
Pithecia pithecia,white-faced saki,43777,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Pitheciidae; Pitheciinae; Pithecia,HLpitPit2,GCA_023779675.1,10867430,10867430,human
Pithecia vanzolinii,Vanzolinis bald-faced saki,2946519,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Pitheciidae; Pitheciinae; Pithecia,HLpitVan1,GCA_963574005.1,44982,44982,human
Platanista gangetica,Ganges River dolphin,118798,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Platanistidae; Platanista,HLplaGan1,GCA_017311385.1,3092,3092,human
Platanista minor,Indus River dolphin,48752,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Platanistidae; Platanista,HLplaMin1,GCA_004363435.1,20879,23933,human
Plecotus auritus,brown big-eared bat,61862,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Vespertilionidae; Plecotus,HLpleAur1,GCA_963455305.1,2948753,186501726,human
Plecturocebus bernhardi,Prince Bernhards titi,1812036,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Pitheciidae; Callicebinae; Plecturocebus,HLpleBer1,GCA_963574705.1,48015,48015,human
Plecturocebus brunneus,Brown titi,1812042,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Pitheciidae; Callicebinae; Plecturocebus,HLpleBru1,GCA_963573885.1,52164,52164,human
Plecturocebus caligatus,Chestnut-bellied titi,867332,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Pitheciidae; Callicebinae; Plecturocebus,HLpleCal1,GCA_963575255.1,50972,50975,human
Plecturocebus cinerascens,Ashy titi,1812037,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Pitheciidae; Callicebinae; Plecturocebus,HLpleCin1,GCA_963573415.1,46753,46753,human
Plecturocebus cupreus,Coppery titi,202457,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Pitheciidae; Callicebinae; Plecturocebus,HLpleCup1,GCA_040437455.1,16955781,130776705,human
Plecturocebus donacophilus,Bolivian titi,230833,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Pitheciidae; Callicebinae; Plecturocebus,HLpleDon1,GCA_004027715.1,41149,46445,human
Plecturocebus dubius,Primates,2946520,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Pitheciidae; Callicebinae; Plecturocebus,HLpleDub1,GCA_963575235.1,48896,48896,human
Plecturocebus grovesi,Alta Floresta titi monkey,2488670,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Pitheciidae; Callicebinae; Plecturocebus,HLpleGro1,GCA_963574625.1,58159,58159,human
Plecturocebus hoffmannsi,Hoffmanns titi,78255,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Pitheciidae; Callicebinae; Plecturocebus,HLpleHof1,GCA_963575245.1,46107,46114,human
Plecturocebus miltoni,Miltons titi,1812038,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Pitheciidae; Callicebinae; Plecturocebus,HLpleMil1,GCA_963575275.1,54303,54303,human
Plecturocebus moloch,Red-bellied titi,9523,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Pitheciidae; Callicebinae; Plecturocebus,HLpleMol1,GCA_963574105.1,61113,61113,human
Pongo abelii,Sumatran orangutan,9601,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Ponginae; Pongo,HLponAbe4,GCA_028885655.2,146197178,146197178,human
Pongo abelii,Sumatran orangutan,9601,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Ponginae; Pongo,ponAbe3,GCF_002880775.1,11074009,98475126,human
Pongo pygmaeus,Bornean orangutan,9600,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Ponginae; Pongo,HLponPyg1,GCA_023767775.1,15810633,15810633,human
Pongo pygmaeus,Bornean orangutan,9600,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Ponginae; Pongo,HLponPyg2,GCA_028885625.2,140592248,143261986,human
Pontoporia blainvillei,franciscana,48723,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Pontoporiidae; Pontoporia,HLponBla1,GCA_011754075.1,5888,6929,human
Potos flavus,kinkajou,29067,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Procyonidae; Potos,HLpotFla1,DNA Zoo Consortium,64392,121721779,human
Prionailurus bengalensis euptilurus,Amur leopard cat,300877,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Felinae; Prionailurus; Prionailurus bengalensis,HLpriBen1,GCA_005406085.1,21454,152598,human
Procapra przewalskii,Przewalskis gazelle,157668,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Antilopinae; Procapra,HLproPrz1,GCA_006410515.1,10405,5522907,human
Procavia capensis,Cape rock hyrax,9813,Mammalia; Theria; Eutheria; Afrotheria; Hyracoidea; Procaviidae; Procavia,HLproCap3,GCA_004026925.2,38095,9071062,human
Procavia capensis,Cape rock hyrax,9813,Mammalia; Theria; Eutheria; Afrotheria; Hyracoidea; Procaviidae; Procavia,HLproCap4,DNA Zoo Consortium,29499,133724184,human
Procyon lotor,raccoon,9654,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Procyonidae; Procyon,HLproLot1,DNA Zoo Consortium,33842,114539748,human
Prolemur simus,greater bamboo lemur,1328070,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Lemuridae; Prolemur,HLproSim1,GCA_003258685.1,47757,2710671,human
Propithecus coquereli,Coquerels sifaka,379532,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Indriidae; Propithecus,HLproCoq2,DNA Zoo Consortium,15309,148766566,human
Propithecus coquereli,Coquerels sifaka,379532,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Strepsirrhini; Lemuriformes; Indriidae; Propithecus,proCoq1,GCF_000956105.1,28129,5604909,human
Przewalskium albirostris,white-lipped deer,1088058,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Cervinae; Przewalskium,HLprzAlb1,GCA_006408465.1,39627,3769372,human
Psammomys obesus,fat sand rat,48139,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Gerbillinae; Psammomys,HLpsaObe1,GCA_002215935.2,76389,10472398,human
Pseudocheirus occidentalis,Western ringtail oppossum,656515,Mammalia; Theria; Metatheria; Diprotodontia; Pseudocheiridae; Pseudocheirus,HLpseOcc1,DNA Zoo Consortium,24154,213462136,human
Pseudochirops corinnae,golden ringtail possum,65629,Mammalia; Theria; Metatheria; Diprotodontia; Pseudocheiridae; Pseudochirops,HLpseCor1,DNA Zoo Consortium,26628,209248263,human
Pseudochirops cupreus,coppery ringtail possum,37702,Mammalia; Theria; Metatheria; Diprotodontia; Pseudocheiridae; Pseudochirops,HLpseCup1,DNA Zoo Consortium,27606,425237964,human
Pseudomys desertor,brown desert mouse,221914,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Pseudomys,HLpseDes1,DNA Zoo Consortium,536677,103158894,human
Pteronotus parnellii,Parnells mustached bat,59476,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yangochiroptera; Mormoopidae; Pteronotus,ptePar1,GCA_000465405.1,9502,22675,human
Pteronura brasiliensis,giant otter,9672,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Lutrinae; Pteronura,HLpteBra1,GCA_004024605.1,90879,119023,human
Pteronura brasiliensis,giant otter,9672,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Lutrinae; Pteronura,HLpteBra2,DNA Zoo Consortium,97105,133376390,human
Pteropus alecto,black flying fox,9402,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Pteropodoidea; Pteropodidae; Pteropodinae; Pteropus,pteAle1,GCF_000325575.1,31841,15954802,human
Pteropus medius,Indian flying fox,143291,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Pteropodoidea; Pteropodidae; Pteropodinae; Pteropus,HLpteGig1,GCA_902729225.1,255763,18871253,human
Pteropus pselaphon,Bonin flying fox,1496133,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Pteropodoidea; Pteropodidae; Pteropodinae; Pteropus,HLptePse1,GCA_014363405.1,394964,770409,human
Pteropus rufus,Malagasy flying fox,196297,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Pteropodoidea; Pteropodidae; Pteropodinae; Pteropus,HLpteRuf1,GCA_028533765.1,213552,110476781,human
Pteropus vampyrus,large flying fox,132908,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Pteropodoidea; Pteropodidae; Pteropodinae; Pteropus,HLpteVam2,GCA_000151845.2,21866,5954017,human
Puma concolor,puma,9696,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Felinae; Puma,HLpumCon1,GCA_003327715.1,27187,100532876,human
Puma yagouaroundi,jaguarundi,1608482,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Feliformia; Felidae; Felinae; Puma,HLpumYag1,GCA_014898765.1,100211,49273425,human
Pygathrix nemaeus,Red shanked douc langur,54133,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Colobinae; Pygathrix,HLpygNem1,GCA_004024825.1,51434,68569,human
Pygathrix nigripes,Black-shanked douc langur,310352,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Colobinae; Pygathrix,HLpygNig1,GCA_023764695.1,14260291,14260291,human
Rangifer tarandus,reindeer,9870,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Odocoileinae; Rangifer,HLranTar1,GCA_004026565.1,77671,89062,human
Rangifer tarandus granti,reindeer,191431,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Cervidae; Odocoileinae; Rangifer; Rangifer tarandus,HLranTarGra2,GCA_014898785.1,231342,9347320,human
Raphicerus campestris,steenbok,59544,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Antilopinae; Raphicerus,HLrapCam1,GCA_006410735.1,25050,537161,human
Rattus norvegicus,Norway rat,10116,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus,HLratNor7,GCA_015227675.1,29198295,135012528,human
Rattus norvegicus,Norway rat,10116,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus,rn6,GCF_000001895.5,100461,14986627,human
Rattus norvegicus,Norway rat,10116,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus,rn7,GCF_015227675.2,29198295,135012528,human
Rattus rattus,black rat,10117,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus,HLratRat7,GCA_011064425.1,1635336,158824752,human
Redunca redunca,Bohar reedbuck,59556,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Reduncinae; Redunca,HLredRed1,GCA_006410935.1,39282,423407,human
Rhinoceros unicornis,greater Indian rhinoceros,9809,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Rhinocerotidae; Rhinoceros,HLrhiUni1,DNA Zoo Consortium,105321,56870999,human
Rhinolophus affinis,intermediate horseshoe bat,59477,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Rhinolophidae; Rhinolophinae; Rhinolophus,HLrhiAff2,GCA_043728065.1,65534120,85365043,human
Rhinolophus ferrumequinum,greater horseshoe bat,59479,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Rhinolophidae; Rhinolophinae; Rhinolophus,HLrhiFer5,GCA_014108255.1,21749602,91996154,human
Rhinolophus hipposideros,Lesser horseshoe bat,77218,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Rhinolophidae; Rhinolophinae; Rhinolophus,HLrhiHip1A,GCA_964194185.1,2014157,88364482,human
Rhinolophus perniger lanosus,Northern woolly horseshoe bat,337453,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Rhinolophidae; Rhinolophinae; Rhinolophus,HLrhiLuc4,GCA_043748575.1,53323821,154900566,human
Rhinolophus sinicus,Chinese rufous horseshoe bat,89399,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Rhinolophidae; Rhinolophinae; Rhinolophus,HLrhiSin1,GCA_001888835.1,37803,3754400,human
Rhinolophus trifoliatus,Trefoil horseshoe bat,430492,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Rhinolophidae; Rhinolophinae; Rhinolophus,HLrhiTri2,GCA_043728145.1,11115074,184920896,human
Rhinolophus yonghoiseni,Yong Hoi Sens woolly horseshoe bat,59480,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Rhinolophidae; Rhinolophinae; Rhinolophus,HLrhiSed2,GCA_043880425.1,28095277,181652838,human
Rhinopithecus bieti,black snub-nosed monkey,61621,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Colobinae; Rhinopithecus,rhiBie1,GCF_001698545.1,36417,2225337,human
Rhinopithecus roxellana,golden snub-nosed monkey,61622,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Colobinae; Rhinopithecus,HLrhiRox2,GCA_007565055.1,5723610,144559847,human
Rhinopithecus strykeri,Burmese snub-nosed monkey,1194336,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Colobinae; Rhinopithecus,HLrhiStr1,GCA_023764705.1,16766498,16766498,human
Rhinopoma microphyllum,Greater mouse-tailed bat,173903,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Rhinolophoidea; Rhinopomatidae; Rhinopoma,HLrhiMic1,GCA_043880545.1,33347918,146810189,human
Rhizomys pruinosus,hoary bamboo rat,53275,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Spalacidae; Rhizomyinae; Rhizomys,HLrhiPru1,GCA_009823505.1,103291,2203772,human
Rhombomys opimus,great gerbil,186474,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Gerbillinae; Rhombomys,HLrhoOpi1,GCA_010120015.1,56880,3610217,human
Rousettus aegyptiacus,Egyptian rousette,9407,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Pteropodoidea; Pteropodidae; Rousettinae; Rousettus,HLrouAeg4,GCA_014176215.1,21756723,113811795,human
Rousettus leschenaultii,Leschenaults rousette,9408,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Pteropodoidea; Pteropodidae; Rousettinae; Rousettus,HLrouLes1,GCA_015472975.1,40477,32720144,human
Rousettus madagascariensis,Madagascan rousette,77223,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Yinpterochiroptera; Pteropodoidea; Pteropodidae; Rousettinae; Rousettus,HLrouMad1,GCA_028533395.1,63376,85834856,human
Saguinus imperator,tamarin,9491,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Callitrichinae; Saguinus,HLsagImp1,GCA_004024885.1,53787,65636,human
Saguinus midas,Midas tamarin,30586,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Callitrichinae; Saguinus,HLsagMid1,GCA_021498475.1,10987047,143273090,human
Saguinus oedipus,Cotton-top tamarin,9490,Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Callitrichinae; Saguinus,HLsagOed1,GCA_031835075.1,91852676,148490209,human
Saiga tatarica,saiga antelope,34875,Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Antilopinae; Saiga,HLsaiTat1,GCA_004024985.1,6406,6453,human
